FP,Weighted Logistic Regression,Balanced Bagging Classifier,Weighted Decision Tree Classifier,Weighted XGBoost
"{'0.0<LASTDAY_2<2.0', '0.0<PUT_2<1.0', '0.0<Q1781_2<2.0'}",0.8022598870056498,0.2711864406779661,0.2711864406779661,0.2711864406779661
"{'0.0<LASTDAY_2<2.0', '0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q1781_2<2.0'}",0.8103448275862069,0.26436781609195403,0.26436781609195403,0.26436781609195403
{'0.0<MEMORY_2<1.0'},0.8121546961325967,0.24861878453038674,0.24861878453038674,0.24861878453038674
"{'1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0'}",0.8343558282208589,0.2085889570552147,0.2085889570552147,0.2085889570552147
"{'1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0'}",0.8343558282208589,0.2085889570552147,0.2085889570552147,0.2085889570552147
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0'}",0.8343558282208589,0.2085889570552147,0.2085889570552147,0.2085889570552147
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0'}",0.8343558282208589,0.2085889570552147,0.2085889570552147,0.2085889570552147
"{'1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0'}",0.8343558282208589,0.2085889570552147,0.2085889570552147,0.2085889570552147
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0'}",0.8343558282208589,0.2085889570552147,0.2085889570552147,0.2085889570552147
"{'1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.8343558282208589,0.2085889570552147,0.2085889570552147,0.2085889570552147
"{'1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0', '0.0<Q75_2<2.0'}",0.8343558282208589,0.2085889570552147,0.2085889570552147,0.2085889570552147
"{'0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0'}",0.8121546961325967,0.24861878453038674,0.24861878453038674,0.24861878453038674
"{'0.0<Q75_2<2.0', '0.0<MEMORY_2<1.0'}",0.8248587570621468,0.23728813559322035,0.23728813559322035,0.23728813559322035
"{'0.0<Q75_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0'}",0.8248587570621468,0.23728813559322035,0.23728813559322035,0.23728813559322035
"{'0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0'}",0.8121546961325967,0.24861878453038674,0.24861878453038674,0.24861878453038674
"{'0.0<Q75_2<2.0', '0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0'}",0.8248587570621468,0.23728813559322035,0.23728813559322035,0.23728813559322035
"{'0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.8121546961325967,0.24861878453038674,0.24861878453038674,0.24861878453038674
"{'0.0<Q75_2<2.0', '0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.8248587570621468,0.23728813559322035,0.23728813559322035,0.23728813559322035
{'1.0<YEAR_2<2.0'},0.8315217391304348,0.27717391304347827,0.27717391304347827,0.27717391304347827
"{'1.0<YEAR_2<2.0', '0.0<Q1781_2<2.0'}",0.8315217391304348,0.27717391304347827,0.27717391304347827,0.27717391304347827
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0'}",0.8315217391304348,0.27717391304347827,0.27717391304347827,0.27717391304347827
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<Q1781_2<2.0'}",0.8315217391304348,0.27717391304347827,0.27717391304347827,0.27717391304347827
"{'1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0'}",0.8306010928961749,0.2786885245901639,0.2786885245901639,0.2786885245901639
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0'}",0.8306010928961749,0.2786885245901639,0.2786885245901639,0.2786885245901639
"{'1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.8306010928961749,0.2786885245901639,0.2786885245901639,0.2786885245901639
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.8306010928961749,0.2786885245901639,0.2786885245901639,0.2786885245901639
{'0.0<LASTDAY_2<2.0'},0.8,0.305,0.305,0.305
{'0.0<Q75_2<2.0'},0.8,0.305,0.305,0.305
"{'0.0<Q75_2<2.0', '0.0<LASTDAY_2<2.0'}",0.8080808080808081,0.29797979797979796,0.29797979797979796,0.29797979797979796
{'0.0<Q1781_2<2.0'},0.7960199004975125,0.30845771144278605,0.30845771144278605,0.30845771144278605
"{'0.0<Q75_2<2.0', '0.0<Q1781_2<2.0'}",0.8,0.305,0.305,0.305
"{'0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.8,0.305,0.305,0.305
"{'0.0<Q75_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.8080808080808081,0.29797979797979796,0.29797979797979796,0.29797979797979796
